timestamp,site,latitude,longitude,species,value,unit
2025-02-19T00:00,Paris,48.85,2.35,pm2_5,20.8,μg/m³
2025-02-19T01:00,Paris,48.85,2.35,pm2_5,19.7,μg/m³
2025-02-19T02:00,Paris,48.85,2.35,pm2_5,20.2,μg/m³
2025-02-19T03:00,Paris,48.85,2.35,pm2_5,21.1,μg/m³
2025-02-19T04:00,Paris,48.85,2.35,pm2_5,22.2,μg/m³
2025-02-19T05:00,Paris,48.85,2.35,pm2_5,23.2,μg/m³
2025-02-19T06:00,Paris,48.85,2.35,pm2_5,26.0,μg/m³
2025-02-19T07:00,Paris,48.85,2.35,pm2_5,30.0,μg/m³
2025-02-19T08:00,Paris,48.85,2.35,pm2_5,31.4,μg/m³
2025-02-19T09:00,Paris,48.85,2.35,pm2_5,29.6,μg/m³
2025-02-19T10:00,Paris,48.85,2.35,pm2_5,29.5,μg/m³
2025-02-19T11:00,Paris,48.85,2.35,pm2_5,29.8,μg/m³
2025-02-19T12:00,Paris,48.85,2.35,pm2_5,28.1,μg/m³
2025-02-19T13:00,Paris,48.85,2.35,pm2_5,26.4,μg/m³
2025-02-19T14:00,Paris,48.85,2.35,pm2_5,24.1,μg/m³
2025-02-19T15:00,Paris,48.85,2.35,pm2_5,23.0,μg/m³
2025-02-19T16:00,Paris,48.85,2.35,pm2_5,22.4,μg/m³
2025-02-19T17:00,Paris,48.85,2.35,pm2_5,23.5,μg/m³
2025-02-19T18:00,Paris,48.85,2.35,pm2_5,28.8,μg/m³
2025-02-19T19:00,Paris,48.85,2.35,pm2_5,30.1,μg/m³
2025-02-19T20:00,Paris,48.85,2.35,pm2_5,32.1,μg/m³
2025-02-19T21:00,Paris,48.85,2.35,pm2_5,31.0,μg/m³
2025-02-19T22:00,Paris,48.85,2.35,pm2_5,26.2,μg/m³
2025-02-19T23:00,Paris,48.85,2.35,pm2_5,23.2,μg/m³
2025-02-19T00:00,Paris,48.85,2.35,pm10,23.7,μg/m³
2025-02-19T01:00,Paris,48.85,2.35,pm10,23.1,μg/m³
2025-02-19T02:00,Paris,48.85,2.35,pm10,23.9,μg/m³
2025-02-19T03:00,Paris,48.85,2.35,pm10,24.7,μg/m³
2025-02-19T04:00,Paris,48.85,2.35,pm10,25.5,μg/m³
2025-02-19T05:00,Paris,48.85,2.35,pm10,27.2,μg/m³
2025-02-19T06:00,Paris,48.85,2.35,pm10,29.6,μg/m³
2025-02-19T07:00,Paris,48.85,2.35,pm10,33.1,μg/m³
2025-02-19T08:00,Paris,48.85,2.35,pm10,34.7,μg/m³
2025-02-19T09:00,Paris,48.85,2.35,pm10,32.9,μg/m³
2025-02-19T10:00,Paris,48.85,2.35,pm10,33.2,μg/m³
2025-02-19T11:00,Paris,48.85,2.35,pm10,34.8,μg/m³
2025-02-19T12:00,Paris,48.85,2.35,pm10,34.5,μg/m³
2025-02-19T13:00,Paris,48.85,2.35,pm10,33.4,μg/m³
2025-02-19T14:00,Paris,48.85,2.35,pm10,29.7,μg/m³
2025-02-19T15:00,Paris,48.85,2.35,pm10,26.6,μg/m³
2025-02-19T16:00,Paris,48.85,2.35,pm10,26.6,μg/m³
2025-02-19T17:00,Paris,48.85,2.35,pm10,27.8,μg/m³
2025-02-19T18:00,Paris,48.85,2.35,pm10,34.4,μg/m³
2025-02-19T19:00,Paris,48.85,2.35,pm10,37.6,μg/m³
2025-02-19T20:00,Paris,48.85,2.35,pm10,37.3,μg/m³
2025-02-19T21:00,Paris,48.85,2.35,pm10,34.2,μg/m³
2025-02-19T22:00,Paris,48.85,2.35,pm10,31.3,μg/m³
2025-02-19T23:00,Paris,48.85,2.35,pm10,26.8,μg/m³
2025-02-19T00:00,Paris,48.85,2.35,nitrogen_dioxide,22.0,μg/m³
2025-02-19T01:00,Paris,48.85,2.35,nitrogen_dioxide,19.1,μg/m³
2025-02-19T02:00,Paris,48.85,2.35,nitrogen_dioxide,16.7,μg/m³
2025-02-19T03:00,Paris,48.85,2.35,nitrogen_dioxide,16.6,μg/m³
2025-02-19T04:00,Paris,48.85,2.35,nitrogen_dioxide,19.5,μg/m³
2025-02-19T05:00,Paris,48.85,2.35,nitrogen_dioxide,24.2,μg/m³
2025-02-19T06:00,Paris,48.85,2.35,nitrogen_dioxide,39.0,μg/m³
2025-02-19T07:00,Paris,48.85,2.35,nitrogen_dioxide,53.3,μg/m³
2025-02-19T08:00,Paris,48.85,2.35,nitrogen_dioxide,51.4,μg/m³
2025-02-19T09:00,Paris,48.85,2.35,nitrogen_dioxide,47.0,μg/m³
2025-02-19T10:00,Paris,48.85,2.35,nitrogen_dioxide,38.6,μg/m³
2025-02-19T11:00,Paris,48.85,2.35,nitrogen_dioxide,34.4,μg/m³
2025-02-19T12:00,Paris,48.85,2.35,nitrogen_dioxide,36.3,μg/m³
2025-02-19T13:00,Paris,48.85,2.35,nitrogen_dioxide,43.1,μg/m³
2025-02-19T14:00,Paris,48.85,2.35,nitrogen_dioxide,43.3,μg/m³
2025-02-19T15:00,Paris,48.85,2.35,nitrogen_dioxide,49.8,μg/m³
2025-02-19T16:00,Paris,48.85,2.35,nitrogen_dioxide,61.6,μg/m³
2025-02-19T17:00,Paris,48.85,2.35,nitrogen_dioxide,72.0,μg/m³
2025-02-19T18:00,Paris,48.85,2.35,nitrogen_dioxide,84.7,μg/m³
2025-02-19T19:00,Paris,48.85,2.35,nitrogen_dioxide,85.5,μg/m³
2025-02-19T20:00,Paris,48.85,2.35,nitrogen_dioxide,69.7,μg/m³
2025-02-19T21:00,Paris,48.85,2.35,nitrogen_dioxide,61.2,μg/m³
2025-02-19T22:00,Paris,48.85,2.35,nitrogen_dioxide,53.9,μg/m³
2025-02-19T23:00,Paris,48.85,2.35,nitrogen_dioxide,39.8,μg/m³
2025-02-19T00:00,Paris,48.85,2.35,ozone,41.0,μg/m³
2025-02-19T01:00,Paris,48.85,2.35,ozone,43.0,μg/m³
2025-02-19T02:00,Paris,48.85,2.35,ozone,40.0,μg/m³
2025-02-19T03:00,Paris,48.85,2.35,ozone,38.0,μg/m³
2025-02-19T04:00,Paris,48.85,2.35,ozone,36.0,μg/m³
2025-02-19T05:00,Paris,48.85,2.35,ozone,25.0,μg/m³
2025-02-19T06:00,Paris,48.85,2.35,ozone,6.0,μg/m³
2025-02-19T07:00,Paris,48.85,2.35,ozone,4.0,μg/m³
2025-02-19T08:00,Paris,48.85,2.35,ozone,8.0,μg/m³
2025-02-19T09:00,Paris,48.85,2.35,ozone,20.0,μg/m³
2025-02-19T10:00,Paris,48.85,2.35,ozone,26.0,μg/m³
2025-02-19T11:00,Paris,48.85,2.35,ozone,27.0,μg/m³
2025-02-19T12:00,Paris,48.85,2.35,ozone,29.0,μg/m³
2025-02-19T13:00,Paris,48.85,2.35,ozone,28.0,μg/m³
2025-02-19T14:00,Paris,48.85,2.35,ozone,25.0,μg/m³
2025-02-19T15:00,Paris,48.85,2.35,ozone,24.0,μg/m³
2025-02-19T16:00,Paris,48.85,2.35,ozone,17.0,μg/m³
2025-02-19T17:00,Paris,48.85,2.35,ozone,9.0,μg/m³
2025-02-19T18:00,Paris,48.85,2.35,ozone,3.0,μg/m³
2025-02-19T19:00,Paris,48.85,2.35,ozone,3.0,μg/m³
2025-02-19T20:00,Paris,48.85,2.35,ozone,2.0,μg/m³
2025-02-19T21:00,Paris,48.85,2.35,ozone,4.0,μg/m³
2025-02-19T22:00,Paris,48.85,2.35,ozone,4.0,μg/m³
2025-02-19T23:00,Paris,48.85,2.35,ozone,14.0,μg/m³
2025-02-19T00:00,Paris,48.85,2.35,sulphur_dioxide,2.2,μg/m³
2025-02-19T01:00,Paris,48.85,2.35,sulphur_dioxide,2.3,μg/m³
2025-02-19T02:00,Paris,48.85,2.35,sulphur_dioxide,2.1,μg/m³
2025-02-19T03:00,Paris,48.85,2.35,sulphur_dioxide,2.2,μg/m³
2025-02-19T04:00,Paris,48.85,2.35,sulphur_dioxide,2.6,μg/m³
2025-02-19T05:00,Paris,48.85,2.35,sulphur_dioxide,3.5,μg/m³
2025-02-19T06:00,Paris,48.85,2.35,sulphur_dioxide,5.6,μg/m³
2025-02-19T07:00,Paris,48.85,2.35,sulphur_dioxide,6.6,μg/m³
2025-02-19T08:00,Paris,48.85,2.35,sulphur_dioxide,7.5,μg/m³
2025-02-19T09:00,Paris,48.85,2.35,sulphur_dioxide,5.7,μg/m³
2025-02-19T10:00,Paris,48.85,2.35,sulphur_dioxide,5.5,μg/m³
2025-02-19T11:00,Paris,48.85,2.35,sulphur_dioxide,4.6,μg/m³
2025-02-19T12:00,Paris,48.85,2.35,sulphur_dioxide,4.7,μg/m³
2025-02-19T13:00,Paris,48.85,2.35,sulphur_dioxide,5.7,μg/m³
2025-02-19T14:00,Paris,48.85,2.35,sulphur_dioxide,5.1,μg/m³
2025-02-19T15:00,Paris,48.85,2.35,sulphur_dioxide,4.3,μg/m³
2025-02-19T16:00,Paris,48.85,2.35,sulphur_dioxide,3.9,μg/m³
2025-02-19T17:00,Paris,48.85,2.35,sulphur_dioxide,5.1,μg/m³
2025-02-19T18:00,Paris,48.85,2.35,sulphur_dioxide,7.5,μg/m³
2025-02-19T19:00,Paris,48.85,2.35,sulphur_dioxide,6.7,μg/m³
2025-02-19T20:00,Paris,48.85,2.35,sulphur_dioxide,6.7,μg/m³
2025-02-19T21:00,Paris,48.85,2.35,sulphur_dioxide,6.6,μg/m³
2025-02-19T22:00,Paris,48.85,2.35,sulphur_dioxide,5.6,μg/m³
