timestamp,site,latitude,longitude,species,value,unit
2026-05-27T00:00,Paris,48.85,2.35,pm2_5,10.7,μg/m³
2026-05-27T01:00,Paris,48.85,2.35,pm2_5,11.9,μg/m³
2026-05-27T02:00,Paris,48.85,2.35,pm2_5,13.4,μg/m³
2026-05-27T03:00,Paris,48.85,2.35,pm2_5,14.0,μg/m³
2026-05-27T04:00,Paris,48.85,2.35,pm2_5,12.3,μg/m³
2026-05-27T05:00,Paris,48.85,2.35,pm2_5,12.7,μg/m³
2026-05-27T06:00,Paris,48.85,2.35,pm2_5,13.5,μg/m³
2026-05-27T07:00,Paris,48.85,2.35,pm2_5,15.3,μg/m³
2026-05-27T08:00,Paris,48.85,2.35,pm2_5,13.0,μg/m³
2026-05-27T09:00,Paris,48.85,2.35,pm2_5,11.2,μg/m³
2026-05-27T10:00,Paris,48.85,2.35,pm2_5,9.4,μg/m³
2026-05-27T11:00,Paris,48.85,2.35,pm2_5,9.1,μg/m³
2026-05-27T12:00,Paris,48.85,2.35,pm2_5,9.3,μg/m³
2026-05-27T13:00,Paris,48.85,2.35,pm2_5,10.1,μg/m³
2026-05-27T14:00,Paris,48.85,2.35,pm2_5,9.7,μg/m³
2026-05-27T15:00,Paris,48.85,2.35,pm2_5,9.6,μg/m³
2026-05-27T16:00,Paris,48.85,2.35,pm2_5,9.9,μg/m³
2026-05-27T17:00,Paris,48.85,2.35,pm2_5,9.1,μg/m³
2026-05-27T18:00,Paris,48.85,2.35,pm2_5,8.7,μg/m³
2026-05-27T19:00,Paris,48.85,2.35,pm2_5,9.5,μg/m³
2026-05-27T20:00,Paris,48.85,2.35,pm2_5,12.9,μg/m³
2026-05-27T21:00,Paris,48.85,2.35,pm2_5,13.4,μg/m³
2026-05-27T22:00,Paris,48.85,2.35,pm2_5,13.1,μg/m³
2026-05-27T23:00,Paris,48.85,2.35,pm2_5,14.4,μg/m³
2026-05-27T00:00,Paris,48.85,2.35,pm10,19.2,μg/m³
2026-05-27T01:00,Paris,48.85,2.35,pm10,18.6,μg/m³
2026-05-27T02:00,Paris,48.85,2.35,pm10,18.4,μg/m³
2026-05-27T03:00,Paris,48.85,2.35,pm10,19.3,μg/m³
2026-05-27T04:00,Paris,48.85,2.35,pm10,19.8,μg/m³
2026-05-27T05:00,Paris,48.85,2.35,pm10,20.4,μg/m³
2026-05-27T06:00,Paris,48.85,2.35,pm10,24.1,μg/m³
2026-05-27T07:00,Paris,48.85,2.35,pm10,22.7,μg/m³
2026-05-27T08:00,Paris,48.85,2.35,pm10,21.1,μg/m³
2026-05-27T09:00,Paris,48.85,2.35,pm10,20.2,μg/m³
2026-05-27T10:00,Paris,48.85,2.35,pm10,18.6,μg/m³
2026-05-27T11:00,Paris,48.85,2.35,pm10,19.0,μg/m³
2026-05-27T12:00,Paris,48.85,2.35,pm10,18.4,μg/m³
2026-05-27T13:00,Paris,48.85,2.35,pm10,19.1,μg/m³
2026-05-27T14:00,Paris,48.85,2.35,pm10,20.4,μg/m³
2026-05-27T15:00,Paris,48.85,2.35,pm10,20.0,μg/m³
2026-05-27T16:00,Paris,48.85,2.35,pm10,18.5,μg/m³
2026-05-27T17:00,Paris,48.85,2.35,pm10,17.6,μg/m³
2026-05-27T18:00,Paris,48.85,2.35,pm10,17.0,μg/m³
2026-05-27T19:00,Paris,48.85,2.35,pm10,17.6,μg/m³
2026-05-27T20:00,Paris,48.85,2.35,pm10,19.6,μg/m³
2026-05-27T21:00,Paris,48.85,2.35,pm10,22.0,μg/m³
2026-05-27T22:00,Paris,48.85,2.35,pm10,24.8,μg/m³
2026-05-27T23:00,Paris,48.85,2.35,pm10,28.8,μg/m³
2026-05-27T00:00,Paris,48.85,2.35,nitrogen_dioxide,30.0,μg/m³
2026-05-27T01:00,Paris,48.85,2.35,nitrogen_dioxide,30.5,μg/m³
2026-05-27T02:00,Paris,48.85,2.35,nitrogen_dioxide,31.0,μg/m³
2026-05-27T03:00,Paris,48.85,2.35,nitrogen_dioxide,30.6,μg/m³
2026-05-27T04:00,Paris,48.85,2.35,nitrogen_dioxide,35.7,μg/m³
2026-05-27T05:00,Paris,48.85,2.35,nitrogen_dioxide,43.9,μg/m³
2026-05-27T06:00,Paris,48.85,2.35,nitrogen_dioxide,51.1,μg/m³
2026-05-27T07:00,Paris,48.85,2.35,nitrogen_dioxide,50.0,μg/m³
2026-05-27T08:00,Paris,48.85,2.35,nitrogen_dioxide,40.8,μg/m³
2026-05-27T09:00,Paris,48.85,2.35,nitrogen_dioxide,15.0,μg/m³
2026-05-27T10:00,Paris,48.85,2.35,nitrogen_dioxide,10.4,μg/m³
2026-05-27T11:00,Paris,48.85,2.35,nitrogen_dioxide,7.0,μg/m³
2026-05-27T12:00,Paris,48.85,2.35,nitrogen_dioxide,6.1,μg/m³
2026-05-27T13:00,Paris,48.85,2.35,nitrogen_dioxide,6.1,μg/m³
2026-05-27T14:00,Paris,48.85,2.35,nitrogen_dioxide,6.4,μg/m³
2026-05-27T15:00,Paris,48.85,2.35,nitrogen_dioxide,7.2,μg/m³
2026-05-27T16:00,Paris,48.85,2.35,nitrogen_dioxide,8.4,μg/m³
2026-05-27T17:00,Paris,48.85,2.35,nitrogen_dioxide,10.2,μg/m³
2026-05-27T18:00,Paris,48.85,2.35,nitrogen_dioxide,11.3,μg/m³
2026-05-27T19:00,Paris,48.85,2.35,nitrogen_dioxide,14.4,μg/m³
2026-05-27T20:00,Paris,48.85,2.35,nitrogen_dioxide,17.5,μg/m³
2026-05-27T21:00,Paris,48.85,2.35,nitrogen_dioxide,18.8,μg/m³
2026-05-27T22:00,Paris,48.85,2.35,nitrogen_dioxide,16.5,μg/m³
2026-05-27T23:00,Paris,48.85,2.35,nitrogen_dioxide,14.4,μg/m³
2026-05-27T00:00,Paris,48.85,2.35,ozone,53.0,μg/m³
2026-05-27T01:00,Paris,48.85,2.35,ozone,46.0,μg/m³
2026-05-27T02:00,Paris,48.85,2.35,ozone,41.0,μg/m³
2026-05-27T03:00,Paris,48.85,2.35,ozone,38.0,μg/m³
2026-05-27T04:00,Paris,48.85,2.35,ozone,34.0,μg/m³
2026-05-27T05:00,Paris,48.85,2.35,ozone,30.0,μg/m³
2026-05-27T06:00,Paris,48.85,2.35,ozone,32.0,μg/m³
2026-05-27T07:00,Paris,48.85,2.35,ozone,55.0,μg/m³
2026-05-27T08:00,Paris,48.85,2.35,ozone,92.0,μg/m³
2026-05-27T09:00,Paris,48.85,2.35,ozone,115.0,μg/m³
2026-05-27T10:00,Paris,48.85,2.35,ozone,137.0,μg/m³
2026-05-27T11:00,Paris,48.85,2.35,ozone,154.0,μg/m³
2026-05-27T12:00,Paris,48.85,2.35,ozone,158.0,μg/m³
2026-05-27T13:00,Paris,48.85,2.35,ozone,154.0,μg/m³
2026-05-27T14:00,Paris,48.85,2.35,ozone,146.0,μg/m³
2026-05-27T15:00,Paris,48.85,2.35,ozone,143.0,μg/m³
2026-05-27T16:00,Paris,48.85,2.35,ozone,141.0,μg/m³
2026-05-27T17:00,Paris,48.85,2.35,ozone,138.0,μg/m³
2026-05-27T18:00,Paris,48.85,2.35,ozone,130.0,μg/m³
2026-05-27T19:00,Paris,48.85,2.35,ozone,119.0,μg/m³
2026-05-27T20:00,Paris,48.85,2.35,ozone,110.0,μg/m³
2026-05-27T21:00,Paris,48.85,2.35,ozone,97.0,μg/m³
2026-05-27T22:00,Paris,48.85,2.35,ozone,87.0,μg/m³
2026-05-27T23:00,Paris,48.85,2.35,ozone,85.0,μg/m³
2026-05-27T00:00,Paris,48.85,2.35,sulphur_dioxide,2.0,μg/m³
2026-05-27T01:00,Paris,48.85,2.35,sulphur_dioxide,2.1,μg/m³
2026-05-27T02:00,Paris,48.85,2.35,sulphur_dioxide,2.4,μg/m³
2026-05-27T03:00,Paris,48.85,2.35,sulphur_dioxide,2.6,μg/m³
2026-05-27T04:00,Paris,48.85,2.35,sulphur_dioxide,3.2,μg/m³
2026-05-27T05:00,Paris,48.85,2.35,sulphur_dioxide,3.6,μg/m³
2026-05-27T06:00,Paris,48.85,2.35,sulphur_dioxide,4.4,μg/m³
2026-05-27T07:00,Paris,48.85,2.35,sulphur_dioxide,4.7,μg/m³
2026-05-27T08:00,Paris,48.85,2.35,sulphur_dioxide,4.0,μg/m³
2026-05-27T09:00,Paris,48.85,2.35,sulphur_dioxide,2.1,μg/m³
2026-05-27T10:00,Paris,48.85,2.35,sulphur_dioxide,1.4,μg/m³
2026-05-27T11:00,Paris,48.85,2.35,sulphur_dioxide,1.3,μg/m³
2026-05-27T12:00,Paris,48.85,2.35,sulphur_dioxide,1.3,μg/m³
2026-05-27T13:00,Paris,48.85,2.35,sulphur_dioxide,1.3,μg/m³
2026-05-27T14:00,Paris,48.85,2.35,sulphur_dioxide,1.2,μg/m³
2026-05-27T15:00,Paris,48.85,2.35,sulphur_dioxide,1.2,μg/m³
2026-05-27T16:00,Paris,48.85,2.35,sulphur_dioxide,1.2,μg/m³
2026-05-27T17:00,Paris,48.85,2.35,sulphur_dioxide,1.3,μg/m³
2026-05-27T18:00,Paris,48.85,2.35,sulphur_dioxide,1.4,μg/m³
2026-05-27T19:00,Paris,48.85,2.35,sulphur_dioxide,1.6,μg/m³
2026-05-27T20:00,Paris,48.85,2.35,sulphur_dioxide,1.8,μg/m³
2026-05-27T21:00,Paris,48.85,2.35,sulphur_dioxide,2.0,μg/m³
2026-05-27T22:00,Paris,48.85,2.35,sulphur_dioxide,1.5,μg/m³
2026-05-27T23:00,Paris,48.85,2.35,sulphur_dioxide,1.5,μg/m³
2026-05-27T00:00,Paris,48.85,2.35,carbon_monoxide,244.0,μg/m³
2026-05-27T01:00,Paris,48.85,2.35,carbon_monoxide,241.0,μg/m³
2026-05-27T02:00,Paris,48.85,2.35,carbon_monoxide,240.0,μg/m³
2026-05-27T03:00,Paris,48.85,2.35,carbon_monoxide,238.0,μg/m³
2026-05-27T04:00,Paris,48.85,2.35,carbon_monoxide,241.0,μg/m³
2026-05-27T05:00,Paris,48.85,2.35,carbon_monoxide,291.0,μg/m³
2026-05-27T06:00,Paris,48.85,2.35,carbon_monoxide,429.0,μg/m³
2026-05-27T07:00,Paris,48.85,2.35,carbon_monoxide,452.0,μg/m³
2026-05-27T08:00,Paris,48.85,2.35,carbon_monoxide,356.0,μg/m³
2026-05-27T09:00,Paris,48.85,2.35,carbon_monoxide,230.0,μg/m³
2026-05-27T10:00,Paris,48.85,2.35,carbon_monoxide,204.0,μg/m³
2026-05-27T11:00,Paris,48.85,2.35,carbon_monoxide,193.0,μg/m³
