timestamp,site,latitude,longitude,species,value,unit
2025-01-31T00:00,Paris,48.85,2.35,pm2_5,20.4,μg/m³
2025-01-31T01:00,Paris,48.85,2.35,pm2_5,20.9,μg/m³
2025-01-31T02:00,Paris,48.85,2.35,pm2_5,22.7,μg/m³
2025-01-31T03:00,Paris,48.85,2.35,pm2_5,23.7,μg/m³
2025-01-31T04:00,Paris,48.85,2.35,pm2_5,22.4,μg/m³
2025-01-31T05:00,Paris,48.85,2.35,pm2_5,20.9,μg/m³
2025-01-31T06:00,Paris,48.85,2.35,pm2_5,23.8,μg/m³
2025-01-31T07:00,Paris,48.85,2.35,pm2_5,27.2,μg/m³
2025-01-31T08:00,Paris,48.85,2.35,pm2_5,27.2,μg/m³
2025-01-31T09:00,Paris,48.85,2.35,pm2_5,22.2,μg/m³
2025-01-31T10:00,Paris,48.85,2.35,pm2_5,16.0,μg/m³
2025-01-31T11:00,Paris,48.85,2.35,pm2_5,12.4,μg/m³
2025-01-31T12:00,Paris,48.85,2.35,pm2_5,10.5,μg/m³
2025-01-31T13:00,Paris,48.85,2.35,pm2_5,8.4,μg/m³
2025-01-31T14:00,Paris,48.85,2.35,pm2_5,6.9,μg/m³
2025-01-31T15:00,Paris,48.85,2.35,pm2_5,6.8,μg/m³
2025-01-31T16:00,Paris,48.85,2.35,pm2_5,8.8,μg/m³
2025-01-31T17:00,Paris,48.85,2.35,pm2_5,10.7,μg/m³
2025-01-31T18:00,Paris,48.85,2.35,pm2_5,12.2,μg/m³
2025-01-31T19:00,Paris,48.85,2.35,pm2_5,13.9,μg/m³
2025-01-31T20:00,Paris,48.85,2.35,pm2_5,16.0,μg/m³
2025-01-31T21:00,Paris,48.85,2.35,pm2_5,17.5,μg/m³
2025-01-31T22:00,Paris,48.85,2.35,pm2_5,16.3,μg/m³
2025-01-31T23:00,Paris,48.85,2.35,pm2_5,14.3,μg/m³
2025-01-31T00:00,Paris,48.85,2.35,pm10,24.7,μg/m³
2025-01-31T01:00,Paris,48.85,2.35,pm10,25.6,μg/m³
2025-01-31T02:00,Paris,48.85,2.35,pm10,26.7,μg/m³
2025-01-31T03:00,Paris,48.85,2.35,pm10,28.4,μg/m³
2025-01-31T04:00,Paris,48.85,2.35,pm10,28.8,μg/m³
2025-01-31T05:00,Paris,48.85,2.35,pm10,27.5,μg/m³
2025-01-31T06:00,Paris,48.85,2.35,pm10,25.9,μg/m³
2025-01-31T07:00,Paris,48.85,2.35,pm10,32.0,μg/m³
2025-01-31T08:00,Paris,48.85,2.35,pm10,34.9,μg/m³
2025-01-31T09:00,Paris,48.85,2.35,pm10,31.1,μg/m³
2025-01-31T10:00,Paris,48.85,2.35,pm10,21.3,μg/m³
2025-01-31T11:00,Paris,48.85,2.35,pm10,15.6,μg/m³
2025-01-31T12:00,Paris,48.85,2.35,pm10,14.1,μg/m³
2025-01-31T13:00,Paris,48.85,2.35,pm10,12.3,μg/m³
2025-01-31T14:00,Paris,48.85,2.35,pm10,10.3,μg/m³
2025-01-31T15:00,Paris,48.85,2.35,pm10,10.4,μg/m³
2025-01-31T16:00,Paris,48.85,2.35,pm10,11.2,μg/m³
