timestamp,site,latitude,longitude,species,value,unit
2024-03-01T00:00,Paris,48.85,2.35,pm2_5,6.6,μg/m³
2024-03-01T01:00,Paris,48.85,2.35,pm2_5,6.0,μg/m³
2024-03-01T02:00,Paris,48.85,2.35,pm2_5,4.7,μg/m³
2024-03-01T03:00,Paris,48.85,2.35,pm2_5,4.2,μg/m³
2024-03-01T04:00,Paris,48.85,2.35,pm2_5,4.0,μg/m³
2024-03-01T05:00,Paris,48.85,2.35,pm2_5,5.9,μg/m³
2024-03-01T06:00,Paris,48.85,2.35,pm2_5,6.5,μg/m³
2024-03-01T07:00,Paris,48.85,2.35,pm2_5,7.2,μg/m³
2024-03-01T08:00,Paris,48.85,2.35,pm2_5,8.4,μg/m³
2024-03-01T09:00,Paris,48.85,2.35,pm2_5,7.1,μg/m³
2024-03-01T10:00,Paris,48.85,2.35,pm2_5,5.6,μg/m³
2024-03-01T11:00,Paris,48.85,2.35,pm2_5,4.7,μg/m³
2024-03-01T12:00,Paris,48.85,2.35,pm2_5,3.9,μg/m³
2024-03-01T13:00,Paris,48.85,2.35,pm2_5,3.5,μg/m³
2024-03-01T14:00,Paris,48.85,2.35,pm2_5,3.5,μg/m³
2024-03-01T15:00,Paris,48.85,2.35,pm2_5,3.8,μg/m³
2024-03-01T16:00,Paris,48.85,2.35,pm2_5,4.8,μg/m³
2024-03-01T17:00,Paris,48.85,2.35,pm2_5,6.6,μg/m³
2024-03-01T18:00,Paris,48.85,2.35,pm2_5,7.5,μg/m³
2024-03-01T19:00,Paris,48.85,2.35,pm2_5,7.2,μg/m³
2024-03-01T20:00,Paris,48.85,2.35,pm2_5,6.0,μg/m³
2024-03-01T21:00,Paris,48.85,2.35,pm2_5,5.3,μg/m³
2024-03-01T22:00,Paris,48.85,2.35,pm2_5,4.3,μg/m³
2024-03-01T23:00,Paris,48.85,2.35,pm2_5,3.1,μg/m³
2024-03-01T00:00,Paris,48.85,2.35,pm10,7.5,μg/m³
2024-03-01T01:00,Paris,48.85,2.35,pm10,7.5,μg/m³
2024-03-01T02:00,Paris,48.85,2.35,pm10,7.7,μg/m³
2024-03-01T03:00,Paris,48.85,2.35,pm10,7.9,μg/m³
2024-03-01T04:00,Paris,48.85,2.35,pm10,8.0,μg/m³
2024-03-01T05:00,Paris,48.85,2.35,pm10,9.8,μg/m³
