timestamp,site,latitude,longitude,species,value,unit
2026-01-01T00:00,Paris,48.85,2.35,pm2_5,43.1,μg/m³
2026-01-01T01:00,Paris,48.85,2.35,pm2_5,40.5,μg/m³
2026-01-01T02:00,Paris,48.85,2.35,pm2_5,38.8,μg/m³
2026-01-01T03:00,Paris,48.85,2.35,pm2_5,36.9,μg/m³
2026-01-01T04:00,Paris,48.85,2.35,pm2_5,33.3,μg/m³
2026-01-01T05:00,Paris,48.85,2.35,pm2_5,30.0,μg/m³
2026-01-01T06:00,Paris,48.85,2.35,pm2_5,26.2,μg/m³
2026-01-01T07:00,Paris,48.85,2.35,pm2_5,25.0,μg/m³
2026-01-01T08:00,Paris,48.85,2.35,pm2_5,21.5,μg/m³
2026-01-01T09:00,Paris,48.85,2.35,pm2_5,18.1,μg/m³
2026-01-01T10:00,Paris,48.85,2.35,pm2_5,15.2,μg/m³
2026-01-01T11:00,Paris,48.85,2.35,pm2_5,12.9,μg/m³
2026-01-01T12:00,Paris,48.85,2.35,pm2_5,10.4,μg/m³
2026-01-01T13:00,Paris,48.85,2.35,pm2_5,9.4,μg/m³
2026-01-01T14:00,Paris,48.85,2.35,pm2_5,9.3,μg/m³
2026-01-01T15:00,Paris,48.85,2.35,pm2_5,9.6,μg/m³
2026-01-01T16:00,Paris,48.85,2.35,pm2_5,11.3,μg/m³
2026-01-01T17:00,Paris,48.85,2.35,pm2_5,13.7,μg/m³
2026-01-01T18:00,Paris,48.85,2.35,pm2_5,14.2,μg/m³
2026-01-01T19:00,Paris,48.85,2.35,pm2_5,14.2,μg/m³
2026-01-01T20:00,Paris,48.85,2.35,pm2_5,13.9,μg/m³
2026-01-01T21:00,Paris,48.85,2.35,pm2_5,12.9,μg/m³
2026-01-01T22:00,Paris,48.85,2.35,pm2_5,12.0,μg/m³
2026-01-01T23:00,Paris,48.85,2.35,pm2_5,10.8,μg/m³
2026-01-01T00:00,Paris,48.85,2.35,pm10,52.7,μg/m³
2026-01-01T01:00,Paris,48.85,2.35,pm10,49.8,μg/m³
2026-01-01T02:00,Paris,48.85,2.35,pm10,46.1,μg/m³
2026-01-01T03:00,Paris,48.85,2.35,pm10,41.2,μg/m³
2026-01-01T04:00,Paris,48.85,2.35,pm10,37.3,μg/m³
2026-01-01T05:00,Paris,48.85,2.35,pm10,35.2,μg/m³
2026-01-01T06:00,Paris,48.85,2.35,pm10,31.8,μg/m³
2026-01-01T07:00,Paris,48.85,2.35,pm10,31.2,μg/m³
2026-01-01T08:00,Paris,48.85,2.35,pm10,26.4,μg/m³
2026-01-01T09:00,Paris,48.85,2.35,pm10,22.1,μg/m³
2026-01-01T10:00,Paris,48.85,2.35,pm10,18.8,μg/m³
2026-01-01T11:00,Paris,48.85,2.35,pm10,17.1,μg/m³
2026-01-01T12:00,Paris,48.85,2.35,pm10,14.1,μg/m³
2026-01-01T13:00,Paris,48.85,2.35,pm10,12.6,μg/m³
2026-01-01T14:00,Paris,48.85,2.35,pm10,13.3,μg/m³
2026-01-01T15:00,Paris,48.85,2.35,pm10,15.1,μg/m³
2026-01-01T16:00,Paris,48.85,2.35,pm10,17.0,μg/m³
2026-01-01T17:00,Paris,48.85,2.35,pm10,19.1,μg/m³
2026-01-01T18:00,Paris,48.85,2.35,pm10,19.3,μg/m³
2026-01-01T19:00,Paris,48.85,2.35,pm10,18.5,μg/m³
2026-01-01T20:00,Paris,48.85,2.35,pm10,18.0,μg/m³
2026-01-01T21:00,Paris,48.85,2.35,pm10,17.8,μg/m³
2026-01-01T22:00,Paris,48.85,2.35,pm10,17.0,μg/m³
2026-01-01T23:00,Paris,48.85,2.35,pm10,15.2,μg/m³
2026-01-01T00:00,Paris,48.85,2.35,nitrogen_dioxide,58.6,μg/m³
2026-01-01T01:00,Paris,48.85,2.35,nitrogen_dioxide,52.5,μg/m³
2026-01-01T02:00,Paris,48.85,2.35,nitrogen_dioxide,47.8,μg/m³
2026-01-01T03:00,Paris,48.85,2.35,nitrogen_dioxide,44.5,μg/m³
2026-01-01T04:00,Paris,48.85,2.35,nitrogen_dioxide,42.2,μg/m³
2026-01-01T05:00,Paris,48.85,2.35,nitrogen_dioxide,41.3,μg/m³
2026-01-01T06:00,Paris,48.85,2.35,nitrogen_dioxide,49.5,μg/m³
2026-01-01T07:00,Paris,48.85,2.35,nitrogen_dioxide,62.2,μg/m³
2026-01-01T08:00,Paris,48.85,2.35,nitrogen_dioxide,61.2,μg/m³
2026-01-01T09:00,Paris,48.85,2.35,nitrogen_dioxide,54.9,μg/m³
2026-01-01T10:00,Paris,48.85,2.35,nitrogen_dioxide,47.1,μg/m³
2026-01-01T11:00,Paris,48.85,2.35,nitrogen_dioxide,39.5,μg/m³
2026-01-01T12:00,Paris,48.85,2.35,nitrogen_dioxide,33.1,μg/m³
2026-01-01T13:00,Paris,48.85,2.35,nitrogen_dioxide,30.5,μg/m³
2026-01-01T14:00,Paris,48.85,2.35,nitrogen_dioxide,32.5,μg/m³
2026-01-01T15:00,Paris,48.85,2.35,nitrogen_dioxide,33.8,μg/m³
2026-01-01T16:00,Paris,48.85,2.35,nitrogen_dioxide,39.8,μg/m³
2026-01-01T17:00,Paris,48.85,2.35,nitrogen_dioxide,46.5,μg/m³
2026-01-01T18:00,Paris,48.85,2.35,nitrogen_dioxide,47.7,μg/m³
2026-01-01T19:00,Paris,48.85,2.35,nitrogen_dioxide,43.4,μg/m³
2026-01-01T20:00,Paris,48.85,2.35,nitrogen_dioxide,40.3,μg/m³
2026-01-01T21:00,Paris,48.85,2.35,nitrogen_dioxide,32.6,μg/m³
2026-01-01T22:00,Paris,48.85,2.35,nitrogen_dioxide,27.4,μg/m³
2026-01-01T23:00,Paris,48.85,2.35,nitrogen_dioxide,18.4,μg/m³
2026-01-01T00:00,Paris,48.85,2.35,ozone,0.0,μg/m³
2026-01-01T01:00,Paris,48.85,2.35,ozone,1.0,μg/m³
2026-01-01T02:00,Paris,48.85,2.35,ozone,2.0,μg/m³
2026-01-01T03:00,Paris,48.85,2.35,ozone,2.0,μg/m³
2026-01-01T04:00,Paris,48.85,2.35,ozone,4.0,μg/m³
2026-01-01T05:00,Paris,48.85,2.35,ozone,3.0,μg/m³
2026-01-01T06:00,Paris,48.85,2.35,ozone,2.0,μg/m³
2026-01-01T07:00,Paris,48.85,2.35,ozone,1.0,μg/m³
2026-01-01T08:00,Paris,48.85,2.35,ozone,2.0,μg/m³
2026-01-01T09:00,Paris,48.85,2.35,ozone,10.0,μg/m³
2026-01-01T10:00,Paris,48.85,2.35,ozone,21.0,μg/m³
2026-01-01T11:00,Paris,48.85,2.35,ozone,34.0,μg/m³
2026-01-01T12:00,Paris,48.85,2.35,ozone,43.0,μg/m³
2026-01-01T13:00,Paris,48.85,2.35,ozone,42.0,μg/m³
2026-01-01T14:00,Paris,48.85,2.35,ozone,40.0,μg/m³
2026-01-01T15:00,Paris,48.85,2.35,ozone,38.0,μg/m³
2026-01-01T16:00,Paris,48.85,2.35,ozone,33.0,μg/m³
