timestamp,site,latitude,longitude,species,value,unit
2024-07-07T00:00,Paris,48.85,2.35,pm2_5,5.1,μg/m³
2024-07-07T01:00,Paris,48.85,2.35,pm2_5,5.0,μg/m³
2024-07-07T02:00,Paris,48.85,2.35,pm2_5,5.1,μg/m³
2024-07-07T03:00,Paris,48.85,2.35,pm2_5,5.3,μg/m³
2024-07-07T04:00,Paris,48.85,2.35,pm2_5,5.5,μg/m³
2024-07-07T05:00,Paris,48.85,2.35,pm2_5,5.7,μg/m³
2024-07-07T06:00,Paris,48.85,2.35,pm2_5,5.7,μg/m³
2024-07-07T07:00,Paris,48.85,2.35,pm2_5,4.9,μg/m³
2024-07-07T08:00,Paris,48.85,2.35,pm2_5,4.6,μg/m³
2024-07-07T09:00,Paris,48.85,2.35,pm2_5,4.3,μg/m³
2024-07-07T10:00,Paris,48.85,2.35,pm2_5,3.6,μg/m³
2024-07-07T11:00,Paris,48.85,2.35,pm2_5,3.7,μg/m³
2024-07-07T12:00,Paris,48.85,2.35,pm2_5,3.6,μg/m³
2024-07-07T13:00,Paris,48.85,2.35,pm2_5,3.7,μg/m³
2024-07-07T14:00,Paris,48.85,2.35,pm2_5,4.0,μg/m³
2024-07-07T15:00,Paris,48.85,2.35,pm2_5,4.0,μg/m³
2024-07-07T16:00,Paris,48.85,2.35,pm2_5,4.0,μg/m³
2024-07-07T17:00,Paris,48.85,2.35,pm2_5,4.4,μg/m³
2024-07-07T18:00,Paris,48.85,2.35,pm2_5,4.4,μg/m³
2024-07-07T19:00,Paris,48.85,2.35,pm2_5,5.0,μg/m³
2024-07-07T20:00,Paris,48.85,2.35,pm2_5,5.4,μg/m³
2024-07-07T21:00,Paris,48.85,2.35,pm2_5,5.8,μg/m³
2024-07-07T22:00,Paris,48.85,2.35,pm2_5,5.8,μg/m³
2024-07-07T23:00,Paris,48.85,2.35,pm2_5,5.9,μg/m³
2024-07-07T00:00,Paris,48.85,2.35,pm10,9.1,μg/m³
2024-07-07T01:00,Paris,48.85,2.35,pm10,9.4,μg/m³
2024-07-07T02:00,Paris,48.85,2.35,pm10,9.5,μg/m³
2024-07-07T03:00,Paris,48.85,2.35,pm10,9.7,μg/m³
2024-07-07T04:00,Paris,48.85,2.35,pm10,11.2,μg/m³
2024-07-07T05:00,Paris,48.85,2.35,pm10,11.1,μg/m³
2024-07-07T06:00,Paris,48.85,2.35,pm10,11.6,μg/m³
2024-07-07T07:00,Paris,48.85,2.35,pm10,10.7,μg/m³
2024-07-07T08:00,Paris,48.85,2.35,pm10,9.5,μg/m³
2024-07-07T09:00,Paris,48.85,2.35,pm10,8.6,μg/m³
2024-07-07T10:00,Paris,48.85,2.35,pm10,8.4,μg/m³
2024-07-07T11:00,Paris,48.85,2.35,pm10,8.4,μg/m³
2024-07-07T12:00,Paris,48.85,2.35,pm10,8.8,μg/m³
2024-07-07T13:00,Paris,48.85,2.35,pm10,8.4,μg/m³
2024-07-07T14:00,Paris,48.85,2.35,pm10,8.2,μg/m³
2024-07-07T15:00,Paris,48.85,2.35,pm10,8.2,μg/m³
2024-07-07T16:00,Paris,48.85,2.35,pm10,8.0,μg/m³
2024-07-07T17:00,Paris,48.85,2.35,pm10,8.0,μg/m³
2024-07-07T18:00,Paris,48.85,2.35,pm10,8.0,μg/m³
2024-07-07T19:00,Paris,48.85,2.35,pm10,8.6,μg/m³
2024-07-07T20:00,Paris,48.85,2.35,pm10,9.0,μg/m³
2024-07-07T21:00,Paris,48.85,2.35,pm10,9.0,μg/m³
2024-07-07T22:00,Paris,48.85,2.35,pm10,9.8,μg/m³
2024-07-07T23:00,Paris,48.85,2.35,pm10,10.0,μg/m³
2024-07-07T00:00,Paris,48.85,2.35,nitrogen_dioxide,8.8,μg/m³
2024-07-07T01:00,Paris,48.85,2.35,nitrogen_dioxide,7.5,μg/m³
2024-07-07T02:00,Paris,48.85,2.35,nitrogen_dioxide,7.1,μg/m³
2024-07-07T03:00,Paris,48.85,2.35,nitrogen_dioxide,6.5,μg/m³
2024-07-07T04:00,Paris,48.85,2.35,nitrogen_dioxide,6.9,μg/m³
2024-07-07T05:00,Paris,48.85,2.35,nitrogen_dioxide,10.7,μg/m³
2024-07-07T06:00,Paris,48.85,2.35,nitrogen_dioxide,8.4,μg/m³
2024-07-07T07:00,Paris,48.85,2.35,nitrogen_dioxide,7.2,μg/m³
2024-07-07T08:00,Paris,48.85,2.35,nitrogen_dioxide,4.3,μg/m³
2024-07-07T09:00,Paris,48.85,2.35,nitrogen_dioxide,3.8,μg/m³
2024-07-07T10:00,Paris,48.85,2.35,nitrogen_dioxide,3.9,μg/m³
2024-07-07T11:00,Paris,48.85,2.35,nitrogen_dioxide,4.0,μg/m³
2024-07-07T12:00,Paris,48.85,2.35,nitrogen_dioxide,3.4,μg/m³
2024-07-07T13:00,Paris,48.85,2.35,nitrogen_dioxide,3.2,μg/m³
2024-07-07T14:00,Paris,48.85,2.35,nitrogen_dioxide,2.8,μg/m³
2024-07-07T15:00,Paris,48.85,2.35,nitrogen_dioxide,3.5,μg/m³
2024-07-07T16:00,Paris,48.85,2.35,nitrogen_dioxide,3.3,μg/m³
2024-07-07T17:00,Paris,48.85,2.35,nitrogen_dioxide,5.0,μg/m³
2024-07-07T18:00,Paris,48.85,2.35,nitrogen_dioxide,5.2,μg/m³
2024-07-07T19:00,Paris,48.85,2.35,nitrogen_dioxide,7.3,μg/m³
2024-07-07T20:00,Paris,48.85,2.35,nitrogen_dioxide,8.8,μg/m³
2024-07-07T21:00,Paris,48.85,2.35,nitrogen_dioxide,9.6,μg/m³
