timestamp,site,latitude,longitude,species,value,unit
2026-03-10T00:00,Paris,48.85,2.35,pm2_5,26.3,μg/m³
2026-03-10T01:00,Paris,48.85,2.35,pm2_5,26.7,μg/m³
2026-03-10T02:00,Paris,48.85,2.35,pm2_5,24.7,μg/m³
2026-03-10T03:00,Paris,48.85,2.35,pm2_5,22.4,μg/m³
2026-03-10T04:00,Paris,48.85,2.35,pm2_5,20.7,μg/m³
2026-03-10T05:00,Paris,48.85,2.35,pm2_5,17.4,μg/m³
2026-03-10T06:00,Paris,48.85,2.35,pm2_5,16.7,μg/m³
2026-03-10T07:00,Paris,48.85,2.35,pm2_5,19.3,μg/m³
2026-03-10T08:00,Paris,48.85,2.35,pm2_5,16.5,μg/m³
2026-03-10T09:00,Paris,48.85,2.35,pm2_5,15.1,μg/m³
2026-03-10T10:00,Paris,48.85,2.35,pm2_5,12.2,μg/m³
2026-03-10T11:00,Paris,48.85,2.35,pm2_5,11.1,μg/m³
2026-03-10T12:00,Paris,48.85,2.35,pm2_5,10.7,μg/m³
2026-03-10T13:00,Paris,48.85,2.35,pm2_5,7.4,μg/m³
2026-03-10T14:00,Paris,48.85,2.35,pm2_5,7.5,μg/m³
2026-03-10T15:00,Paris,48.85,2.35,pm2_5,7.5,μg/m³
2026-03-10T16:00,Paris,48.85,2.35,pm2_5,8.0,μg/m³
2026-03-10T17:00,Paris,48.85,2.35,pm2_5,10.2,μg/m³
2026-03-10T18:00,Paris,48.85,2.35,pm2_5,11.8,μg/m³
2026-03-10T19:00,Paris,48.85,2.35,pm2_5,13.1,μg/m³
2026-03-10T20:00,Paris,48.85,2.35,pm2_5,13.9,μg/m³
2026-03-10T21:00,Paris,48.85,2.35,pm2_5,14.5,μg/m³
2026-03-10T22:00,Paris,48.85,2.35,pm2_5,14.5,μg/m³
2026-03-10T23:00,Paris,48.85,2.35,pm2_5,12.2,μg/m³
2026-03-10T00:00,Paris,48.85,2.35,pm10,31.1,μg/m³
2026-03-10T01:00,Paris,48.85,2.35,pm10,32.5,μg/m³
2026-03-10T02:00,Paris,48.85,2.35,pm10,30.3,μg/m³
2026-03-10T03:00,Paris,48.85,2.35,pm10,25.2,μg/m³
2026-03-10T04:00,Paris,48.85,2.35,pm10,21.8,μg/m³
2026-03-10T05:00,Paris,48.85,2.35,pm10,20.2,μg/m³
2026-03-10T06:00,Paris,48.85,2.35,pm10,19.9,μg/m³
2026-03-10T07:00,Paris,48.85,2.35,pm10,21.4,μg/m³
